序号,专业名,学位,链接
1,Accounting and Finance,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/ing-and-finance-bsc/
2,Aeronautical Engineering,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/ical-engineering-beng/
3,Aeronautical Engineering,MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/ical-engineering-meng/
4,Aeronautical Engineering with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/aeronautical-engineering/
5,Architectural Engineering,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/hitectural-engineering-beng/
6,Architectural Engineering,MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/hitectural-engineering-meng/
7,Architecture,BArch (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/hitecture-barch/
8,Automotive Engineering,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/motive-engineering-beng/
9,Automotive Engineering,MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/motive-engineering-meng/
10,Automotive Engineering with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/automotive-engineering/
11,Automotive Materials,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/motive-materials-beng/
12,Automotive Materials,MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/motive-materials-meng/
13,Biological Sciences,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/biological-sciences-bsc/
14,Biological Sciences with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/biological-sciences/
15,Biomaterials Engineering,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/biomaterials-engineering-beng/
16,Biomaterials Engineering,MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/biomaterials-engineering-meng/
17,Biomedical Engineering,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/biomedical-engineering-beng/
18,Biomedical Engineering,MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/biomedical-engineering-meng/
19,Biomedical Engineering with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/biomedical-engineering/
20,Business Analytics,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/business-analytics/
21,Business with a Foundation Year for Elite Athletes,,https://www.lboro.ac.uk/study/undergraduate/foundation/business/
22,Chemical Engineering,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/chemical-engineering-beng/
23,Chemical Engineering,MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/chemical-engineering-meng/
24,Chemical Engineering with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/chemical-engineering/
25,Chemistry,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/chemistry-bsc/
26,Chemistry,MChem (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/chemistry-mchem/
27,Chemistry with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/chemistry/
28,Chemistry with Computing,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/hemistry-with-computing-bsc/
29,Chemistry with Computing,MChem (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/hemistry-with-computing-mchem/
30,Civil Engineering,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/ivil-engineering-beng/
31,Civil Engineering,MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/ivil-engineering-meng/
32,Civil Engineering and Architectural Engineering with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/civil-architectural-engineering/
33,Commercial Management and Quantity Surveying,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mmercial-management-and-quantity-surveying/
34,Computer and Electronic Engineering,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mputer-and-electronic-engineering-beng/
35,Computer and Electronic Engineering,MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mputer-and-electronic-engineering-meng/
36,Computer Science,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mputer-science-bsc/
37,Computer Science,MSci (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mputer-science-msci/
38,Computer Science and Artificial Intelligence,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mputer-science-and-artificial-intelligence-bsc/
39,Computer Science and Artificial Intelligence,MSci (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mputer-science-and-artificial-intelligence-msci/
40,Computer Science and Cyber Security,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mputer-science-and-cyber-security-bsc/
41,Computer Science and Cyber Security,MSci (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mputer-science-and-cyber-security-msci/
42,Computer Science and Mathematics,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mputer-science-and-mathematics-bsc/
43,Computer Science and Mathematics,MSci (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mputer-science-and-mathematics-msci/
44,Computer Science with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/computer-science/
45,Computing and Management,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mputing-and-management-bsc/
46,Computing and Management,MSci (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mputing-and-management-msci/
47,Construction Engineering Management,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/ion-engineering-management/
48,Criminology,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/iminology/
49,Criminology and Sociology,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/iminology-and-sociology/
50,Design,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/ign/
51,Economics,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/economics/
52,Economics and Finance,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/economics-and-finance-bsc/
53,Economics and Management,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/economics-and-management/
54,Economics with a Foundation Year for Elite Athletes,,https://www.lboro.ac.uk/study/undergraduate/foundation/economics/
55,Electrical and Electronic Engineering,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/lectrical-and-electronic-engineering-beng/
56,Electrical and Electronic Engineering,MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/lectrical-and-electriconic-engineering-meng/
57,Electronic and Electrical Engineering with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/electronic-and-electrical-engineering/
58,Energy Engineering,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/-engineering-beng/
59,Energy Engineering,MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/-engineering-meng/
60,Engineering Management,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/ineering-management/
61,Engineering Management with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/engineering-management/
62,Engineering Physics,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/ineering-physics-bsc/
63,Engineering Physics,MPhys (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/ineering-physics-mphys/
64,English,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/lish/
65,English and Sport Science,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/lish-and-sport-science/
66,English Literature,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/lish-literature/
67,English with Business Studies,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/lish-with-business-studies/
68,English with Creative Writing,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/lish-with-creative-writing/
69,Fashion Design and Technology,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/fashion-design-technology/
70,Finance,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/finance/
71,Financial Mathematics,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/financial-mathematics/
72,Fine Art,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/fine-art/
73,Geography,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/geography-ba/
74,Geography,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/geography-bsc/
75,Geography and Management,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/geography-and-management/
76,Geography and Sport Science,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/geography-and-sport-science/
77,Geography with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/geography/
78,Geography with Economics,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/geography-with-economics/
79,Graphic Design,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/phic-design/
80,History,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/history/
81,History and International Relations,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/history-and-international-relations/
82,History and Politics,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/history-and-politics/
83,Human Biology,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/human-biology/
84,Human Biology with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/human-biology/
85,Industrial Design,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/industrial-design/
86,Information Technology Management for Business,MSci (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/information-technology-management-for-business/
87,Information Technology Management for Business (ITMB),BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/information-technology-management-for-business-bsc/
88,International Business,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/international-business/
89,International Relations,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/international-relations/
90,Law,LLB (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/law-llb/
91,Management,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/management/
92,Marketing,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/marketing/
93,Materials Engineering with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/materials-engineering/
94,Materials Science and Engineering,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/materials-science-engineering-beng/
95,Materials Science and Engineering,MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/materials-science-engineering-meng/
96,Mathematics,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-bsc/
97,Mathematics,MMath (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mathematics/
98,Mathematics and Accounting and Finance,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-accounting-and-finance/
99,Mathematics and Physics,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-and-physics-bsc/
100,Mathematics and Physics,MPhys (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-and-physics-mphys/
101,Mathematics and Sport Science,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-and-sport-science/
102,Mathematics with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/mathematics/
103,Mathematics with Economics,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-with-economics/
104,Mathematics with Statistics,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-with-statistics/
105,Mechanical Engineering,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mechanical-engineering-beng/
106,Mechanical Engineering,MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/mechanical-engineering-meng/
107,Mechanical Engineering with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/mechanical-engineering/
108,Media and Communication,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/media-and-communication-bsc/
109,Medicinal and Pharmaceutical Chemistry,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/medicinal-pharmaceutical-chemistry-bsc/
110,Medicinal and Pharmaceutical Chemistry,MChem (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/medicinal-pharmaceutical-chemistry-mchem/
111,Natural Sciences,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/l-sciences-bsc/
112,Natural Sciences,MSci (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/l-sciences-msci/
113,Natural Sciences with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/natural-sciences/
114,Physics,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/physics-bsc/
115,Physics,MPhys (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/physics-mphys/
116,Physics with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/physics/
117,Physics with Computing,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/physics-with-computing-bsc/
118,Physics with Computing,MPhys (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/physics-with-computing-mphys/
119,Physics with Theoretical Physics,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/physics-with-theoretical-physics-bsc/
120,Physics with Theoretical Physics,MPhys (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/physics-with-theoretical-physics-mphys/
121,Politics,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/politics/
122,Politics and International Relations,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/politics-and-international-relations/
123,"Politics, Philosophy and Economics",BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/politics-philosophy-and-economics/
124,Product Design and Technology,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/product-design-and-technology/
125,Product Design and Technology with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/product-design-tech-foundation/
126,Product Design Engineering,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/product-design-engineering-beng/
127,Product Design Engineering,MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/product-design-engineering-meng/
128,Product Design Engineering with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/product-design-engineering/
129,Psychology,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/psychology/
130,Psychology of Sport and Exercise,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/psychology-sport-exercise/
131,Psychology with a Foundation Year for Elite Athletes,,https://www.lboro.ac.uk/study/undergraduate/foundation/psychology-for-elite-athletes/
132,Psychology with Criminology,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/psychology-with-criminology/
133,"Robotics, Mechatronics and Control Engineering",BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/botics-mechatronics-control-engineering-beng/
134,"Robotics, Mechatronics and Control Engineering",MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/botics-mechatronics-control-engineering-meng/
135,Social Sciences and Humanities with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/social-sciences/
136,Sociology,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/iology/
137,Sport and Exercise Science,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/port-and-exercise-science/
138,Sport Management,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/port-management/
139,"Sport Science, Coaching and Physical Education",BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/port-coaching-and-physical-education/
140,Sport with a Foundation Year for Elite Athletes,,https://www.lboro.ac.uk/study/undergraduate/foundation/sport-foundation-for-elite-athletes/
141,Sports Technology,BEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/ports-technology-beng/
142,Sports Technology,MEng (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/ports-technology-meng/
143,Sports Technology with a Foundation Year,,https://www.lboro.ac.uk/study/undergraduate/foundation/sports-technology/
144,Textile Design,BA (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/xtile-design/
145,Urban Planning,BSc (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/ban-planning-bsc/
146,Urban Planning,MPlan (Hons),https://www.lboro.ac.uk/study/undergraduate/courses/ban-planning-mplan/
